key;frontText;frontDetails;backText;backDetails;category
aufmerksamkeit-vnimanie;die Aufmerksamkeit;die Aufmerksamkeiten;;внимание;существительное
defizit-deficit;das Defizit;die Defizite;;дефицит;существительное
hyperaktivität-giperaktivnost;die Hyperaktivität;;;гиперактивность;существительное
störung-rasstroystvo;die Störung;die Störungen;;расстройство;существительное
