key;frontText;frontDetails;backText;backDetails;category
sandale-sandaliya;die Sandale;die Sandalen;сандалия;;существительное
sehen-videt;sehen;sah / gesehen;видеть;;глагол
aufsuchen-obratitsya;aufsuchen;suchte auf / aufgesucht;обратиться;;глагол
bitte-pozhaluysta;bitte;;пожалуйста ;;частица
arzt-vrach;der Arzt;die Ärzte;врач, доктор;;существительное
