key;frontText;frontDetails;backText;backDetails;category
eltern-roditeli;die Eltern;;родители;;существительное
ohne-bez;ohne;;без;;предлог
filter-filter;der Filter;die Filter;фильтр;;существительное
geteilt-razdelenniy;geteilt;;разделённый, поделённый;;причастие
leid-gore;das Leid;;горе, боль, страдание;;существительное
halb-polovinniy;halb;;половинный, частичный, наполовину;;прилагательное
