key;frontText;frontDetails;backText;backDetails;category
optimist-optimist;der Optimist;die Optimisten;оптимист;;существительное
denken-dumat;denken;dachte / gedacht;думать, подумать;;глагол
hier-zdes;hier;;здесь, тут;;наречие
pessimist-pessimist;der Pessimist;die Pessimisten;пессимист;;существительное
suchen-iskat;suchen;suchte / gesucht;искать;;глагол
socke-nosok;die Socke;die Socken;носок;;существительное
fehlen-ne-hvatat;fehlen;fehlte / gefehlt;не хватать, недоставать;;глагол
