key;frontText;frontDetails;backText;backDetails;category
erzählen-to-tell;erzählen;erzählte / erzählt;to tell, to narrate;;verb
wüste-desert;die Wüste;die Wüsten;desert;;noun
abenteuer-adventure;das Abenteuer;die Abenteuer;adventure;;noun
löwe-lion;der Löwe;die Löwen;lion;;noun
bekanntlich-as-is-well-known;bekanntlich;;as is well known;;adverb
egal-indifferent;egal;;indifferent, not important, doesn’t matter;;adjective
